"cluster_set","featset","focgene","subtype","min.node.size","splitrule","mtry","Accuracy","Kappa","AccuracySD","KappaSD"
"60_7","nuc_3mer","PB2","H7N9","5","gini",8,0.972370191478351,0.129887650473902,0.00261644774770814,0.0773516023979582
"60_7","nuc_3mer","PB2","H7N9","25","gini",8,0.971781956184233,0.129038661301634,0.0026212910764521,0.0792067772332284
"60_7","nuc_3mer","PB2","H7N9","45","gini",8,0.971781956184233,0.129038661301634,0.0026212910764521,0.0792067772332284
"60_7","nuc_3mer","PB2","H8N4","5","gini",8,0.950705339485827,0.663213503852842,0.00519872407131099,0.0500324777864922
"60_7","nuc_3mer","PB2","H8N4","25","gini",8,0.943128982641178,0.637919273621053,0.0109352686617473,0.0507705809070983
"60_7","nuc_3mer","PB2","H8N4","45","gini",8,0.933925144656852,0.605925376081623,0.016784807830052,0.0659459007260196
"60_7","nuc_3mer","PB2","H9N2","5","gini",8,0.957764302484623,0.736403848256549,0.00848760846256673,0.0586339005503071
"60_7","nuc_3mer","PB2","H9N2","25","gini",8,0.955786275734579,0.732239460299796,0.0100043457964272,0.0674321394812213
"60_7","nuc_3mer","PB2","H9N2","45","gini",8,0.957766488133651,0.74552710406602,0.00847885274768502,0.056880262458693
"60_7","nuc_4mer","PB2","H10N8","5","gini",16,0.957175553071629,0.709150280465988,0.0117538364453038,0.0776745043348128
"60_7","nuc_4mer","PB2","H10N8","25","gini",16,0.950672936987889,0.681077437680787,0.0123580194159643,0.0757394928337465
"60_7","nuc_4mer","PB2","H10N8","45","gini",16,0.947959972167289,0.671201164667477,0.0146816197335829,0.0843052624462767
"60_7","nuc_4mer","PB2","H16N3","5","gini",16,0.954956013027137,0.679001714668509,0.00981535138471274,0.083214105871357
"60_7","nuc_4mer","PB2","H16N3","25","gini",16,0.94680379095581,0.647466290644346,0.0061704874669701,0.05849836112881
"60_7","nuc_4mer","PB2","H16N3","45","gini",16,0.943548812753854,0.643817196990971,0.00959782534697946,0.06783641376957
"60_7","nuc_4mer","PB2","H3N8","5","gini",16,0.959172997682205,0.723495142010824,0.0149069701770498,0.106133480144283
"60_7","nuc_4mer","PB2","H3N8","25","gini",16,0.952927826422869,0.698454417711421,0.0132008640253206,0.0910368354350432
"60_7","nuc_4mer","PB2","H3N8","45","gini",16,0.949526783414885,0.687319253727939,0.0182679073057101,0.113521980283134
"60_7","nuc_4mer","PB2","H4N6","5","gini",16,0.955776544909456,0.706085433924078,0.00958529727909415,0.0779393751759244
"60_7","nuc_4mer","PB2","H4N6","25","gini",16,0.949960866912127,0.682957180941428,0.00866044536116423,0.0654833703703093
"60_7","nuc_4mer","PB2","H4N6","45","gini",16,0.945889384787571,0.666476019381072,0.00894733796393113,0.0736976670267042
"60_7","nuc_4mer","PB2","H4N8","5","gini",16,0.957923687526464,0.71528144861048,0.0056176732959083,0.0317354128827683
"60_7","nuc_4mer","PB2","H4N8","25","gini",16,0.946293878779531,0.659029607394841,0.00794109329504657,0.0380438687522325
"60_7","nuc_4mer","PB2","H4N8","45","gini",16,0.945746000894453,0.669608051651689,0.0098285456081673,0.0320262693269283
"60_7","nuc_4mer","PB2","H5N1","5","gini",16,0.963578692071898,0.74621261385747,0.0125466681623195,0.084697363505595
