"cluster_set","featset","focgene","subtype","alpha","lambda","Accuracy","Kappa","AccuracySD","KappaSD"
"70_7","nuc_5mer","PB2","H4N8",0.5,1,0.583993815333938,0,0.466051737963442,0
"70_7","nuc_5mer","PB2","H4N8",0.5,10,0.583993815333938,0,0.466051737963442,0
"70_7","nuc_5mer","PB2","H4N8",1,0.001,0.948890233381511,0.665200988578176,0.0130233033716849,0.078365735175533
"70_7","nuc_5mer","PB2","H4N8",1,0.01,0.906778483636404,0.53471196623211,0.0189176802155913,0.071794070471251
"70_7","nuc_5mer","PB2","H4N8",1,0.1,0.774723538704581,0.293848607441338,0.0179599033885589,0.0264250786990802
"70_7","nuc_5mer","PB2","H4N8",1,1,0.583993815333938,0,0.466051737963442,0
"70_7","nuc_5mer","PB2","H4N8",1,10,0.583993815333938,0,0.466051737963442,0
"70_7","nuc_5mer","PB2","H5N1",0,0.001,0.950877192982456,0.674624959943005,0.0148906774711909,0.0775734326405734
"70_7","nuc_5mer","PB2","H5N1",0,0.01,0.950877192982456,0.674624959943005,0.0148906774711909,0.0775734326405734
"70_7","nuc_5mer","PB2","H5N1",0,0.1,0.936340852130326,0.616330600312197,0.0151001206329745,0.0634388268323419
"70_7","nuc_5mer","PB2","H5N1",0,1,0.879699248120301,0.461145432308889,0.0367917750774516,0.0910865891204872
"70_7","nuc_5mer","PB2","H5N1",0,10,0.838095238095238,0.375037907961155,0.0278297075538673,0.0453136368701317
"70_7","nuc_5mer","PB2","H5N1",0.5,0.001,0.953383458646617,0.67125127649368,0.0132144624826708,0.0842807991845016
"70_7","nuc_5mer","PB2","H5N1",0.5,0.01,0.936842105263158,0.612292376916994,0.0108379690779146,0.055885645285425
"70_7","nuc_5mer","PB2","H5N1",0.5,0.1,0.84812030075188,0.39111297635035,0.0331358273304028,0.0527929703176479
"70_7","nuc_5mer","PB2","H5N1",0.5,1,0.758897243107769,0,0.387809283315753,0
"70_7","nuc_5mer","PB2","H5N1",0.5,10,0.758897243107769,0,0.387809283315753,0
"70_7","nuc_5mer","PB2","H5N1",1,0.001,0.953884711779449,0.675319250001015,0.01209776279313,0.064217993258635
"70_7","nuc_5mer","PB2","H5N1",1,0.01,0.922305764411028,0.564775778045212,0.0127794975278015,0.0457178130431235
"70_7","nuc_5mer","PB2","H5N1",1,0.1,0.849122807017544,0.392039414298547,0.0370215397547702,0.0571013756456072
"70_7","nuc_5mer","PB2","H5N1",1,1,0.758897243107769,0,0.387809283315753,0
"70_7","nuc_5mer","PB2","H5N1",1,10,0.758897243107769,0,0.387809283315753,0
"70_7","nuc_5mer","PB2","H5N6",0,0.001,0.935693895601839,0.633702203429661,0.0102525733623888,0.0616699803877748
"70_7","nuc_5mer","PB2","H5N6",0,0.01,0.935693895601839,0.633702203429661,0.0102525733623888,0.0616699803877748
"70_7","nuc_5mer","PB2","H5N6",0,0.1,0.921509472013942,0.588984607395106,0.014730061549872,0.062943776674602
"70_7","nuc_5mer","PB2","H5N6",0,1,0.850111174319176,0.414405651961437,0.0167540846342641,0.03554361574155
"70_7","nuc_5mer","PB2","H5N6",0,10,0.79526471178285,0.330690444286007,0.0140678810262746,0.0228956402927971
"70_7","nuc_5mer","PB2","H5N6",0.5,0.001,0.949883915957373,0.679472991241552,0.0041941736873272,0.0289863730492645
"70_7","nuc_5mer","PB2","H5N6",0.5,0.01,0.922459574848602,0.581645116703981,0.00772034560878916,0.0292426935269798
