"cluster_set","featset","focgene","subtype","accuracy"
"60_6","nuc_2mer","NA","H3N8",0
"60_6","nuc_2mer","NA","H4N6",0.015748031496063
"60_6","nuc_2mer","NA","H4N8",0.852941176470588
"60_6","nuc_2mer","NA","H5N1",0.795620437956204
"60_6","nuc_2mer","NA","H5N6",1
"60_6","nuc_2mer","NA","H7N3",0.5
"60_6","nuc_2mer","NA","H7N4",1
"60_6","nuc_2mer","NA","H7N7",1
"60_6","nuc_2mer","NA","H7N9",1
"60_6","nuc_2mer","NA","H8N4",0.00657894736842105
"60_6","nuc_2mer","NA","H9N2",0.923076923076923
"60_6","nuc_3mer","NA","H10N8",0
"60_6","nuc_3mer","NA","H16N3",0.0716981132075472
"60_6","nuc_3mer","NA","H3N8",0
"60_6","nuc_3mer","NA","H4N6",0.962777380100215
"60_6","nuc_3mer","NA","H4N8",1
"60_6","nuc_3mer","NA","H5N1",0
"60_6","nuc_3mer","NA","H5N6",0
"60_6","nuc_3mer","NA","H7N3",0
"60_6","nuc_3mer","NA","H7N4",0
"60_6","nuc_3mer","NA","H7N7",0
"60_6","nuc_3mer","NA","H7N9",0
"60_6","nuc_3mer","NA","H8N4",0.914473684210526
"60_6","nuc_3mer","NA","H9N2",0.692307692307692
"60_6","nuc_4mer","NA","H10N8",1
"60_6","nuc_4mer","NA","H16N3",0.343396226415094
"60_6","nuc_4mer","NA","H3N8",1
"60_6","nuc_4mer","NA","H4N6",0.000715819613457409
"60_6","nuc_4mer","NA","H4N8",0.634453781512605
"60_6","nuc_4mer","NA","H5N1",0.226277372262774
"60_6","nuc_4mer","NA","H5N6",0
"60_6","nuc_4mer","NA","H7N3",0
"60_6","nuc_4mer","NA","H7N4",0
"60_6","nuc_4mer","NA","H7N7",0
"60_6","nuc_4mer","NA","H7N9",0.930803571428571
"60_6","nuc_4mer","NA","H8N4",0.598684210526316
"60_6","nuc_4mer","NA","H9N2",0.538461538461538
"60_6","nuc_5mer","NA","H10N8",1
"60_6","nuc_5mer","NA","H16N3",0.377358490566038
"60_6","nuc_5mer","NA","H3N8",1
"60_6","nuc_5mer","NA","H4N6",0
"60_6","nuc_5mer","NA","H4N8",0
"60_6","nuc_5mer","NA","H5N1",0.992700729927007
"60_6","nuc_5mer","NA","H5N6",1
"60_6","nuc_5mer","NA","H7N3",1
"60_6","nuc_5mer","NA","H7N4",1
"60_6","nuc_5mer","NA","H7N7",1
"60_6","nuc_5mer","NA","H7N9",0.975446428571429
"60_6","nuc_5mer","NA","H8N4",0
"60_6","nuc_5mer","NA","H9N2",0
"60_6","nuc_6mer","NA","H10N8",1
"60_6","nuc_6mer","NA","H16N3",0.875471698113208
"60_6","nuc_6mer","NA","H3N8",1
"60_6","nuc_6mer","NA","H4N6",0.00214745884037223
"60_6","nuc_6mer","NA","H4N8",0.0840336134453782
"60_6","nuc_6mer","NA","H5N1",0.992700729927007
"60_6","nuc_6mer","NA","H5N6",0.75
"60_6","nuc_6mer","NA","H7N3",0
"60_6","nuc_6mer","NA","H7N4",0
"60_6","nuc_6mer","NA","H7N7",1
"60_6","nuc_6mer","NA","H7N9",0.915178571428571
"60_6","nuc_6mer","NA","H8N4",0.460526315789474
"60_6","nuc_6mer","NA","H9N2",1
"60_6","prot_2mer","NA","H10N8",0.5
"60_6","prot_2mer","NA","H16N3",1
"60_6","prot_2mer","NA","H3N8",1
"60_6","prot_2mer","NA","H4N6",0.732999284180387
"60_6","prot_2mer","NA","H4N8",0.756302521008403
"60_6","prot_2mer","NA","H5N1",0
"60_6","prot_2mer","NA","H5N6",0.833333333333333
"60_6","prot_2mer","NA","H7N3",0.5
"60_6","prot_2mer","NA","H7N4",0
"60_6","prot_2mer","NA","H7N7",0
"60_6","prot_2mer","NA","H7N9",0.944196428571429
"60_6","prot_2mer","NA","H8N4",0.0197368421052632
"60_6","prot_2mer","NA","H9N2",0.230769230769231
"60_6","prot_ctdc","NA","H10N8",0
"60_6","prot_ctdc","NA","H16N3",0.988679245283019
"60_6","prot_ctdc","NA","H3N8",0
"60_6","prot_ctdc","NA","H4N6",0.952040085898354
"60_6","prot_ctdc","NA","H4N8",0.991596638655462
"60_6","prot_ctdc","NA","H5N1",0.54014598540146
"60_6","prot_ctdc","NA","H5N6",0.5
"60_6","prot_ctdc","NA","H7N3",0
"60_6","prot_ctdc","NA","H7N4",0
"60_6","prot_ctdc","NA","H7N7",0
"60_6","prot_ctdc","NA","H7N9",0.774553571428571
"60_6","prot_ctdc","NA","H8N4",0.947368421052632
"60_6","prot_ctdc","NA","H9N2",0.230769230769231
"60_6","prot_ctdd","NA","H10N8",0
"60_6","prot_ctdd","NA","H16N3",0.475471698113208
"60_6","prot_ctdd","NA","H3N8",0
"60_6","prot_ctdd","NA","H4N6",0.744452397995705
"60_6","prot_ctdd","NA","H4N8",0.966386554621849
"60_6","prot_ctdd","NA","H5N1",0
"60_6","prot_ctdd","NA","H5N6",0
"60_6","prot_ctdd","NA","H7N3",0
"60_6","prot_ctdd","NA","H7N4",0
"60_6","prot_ctdd","NA","H7N7",0
"60_6","prot_ctdd","NA","H7N9",0.995535714285714
"60_6","prot_ctdd","NA","H8N4",0.835526315789474
"60_6","prot_ctdd","NA","H9N2",0.0769230769230769
"60_6","prot_ctdt","NA","H10N8",0
"60_6","prot_ctdt","NA","H16N3",0.928301886792453
"60_6","prot_ctdt","NA","H3N8",0.5
"60_6","prot_ctdt","NA","H4N6",0.951324266284896
"60_6","prot_ctdt","NA","H4N8",0.949579831932773
"60_6","prot_ctdt","NA","H5N1",0.226277372262774
"60_6","prot_ctdt","NA","H5N6",0.916666666666667
"60_6","prot_ctdt","NA","H7N3",0
"60_6","prot_ctdt","NA","H7N4",0
"60_6","prot_ctdt","NA","H7N7",0
"60_6","prot_ctdt","NA","H7N9",0.774553571428571
"60_6","prot_ctdt","NA","H8N4",0.947368421052632
"60_6","prot_ctdt","NA","H9N2",0.153846153846154
"60_6","prot_ctriad","NA","H10N8",1
"60_6","prot_ctriad","NA","H16N3",0.950943396226415
"60_6","prot_ctriad","NA","H3N8",0.5
"60_6","prot_ctriad","NA","H4N6",0.989262705798139
"60_6","prot_ctriad","NA","H4N8",0.861344537815126
"60_6","prot_ctriad","NA","H5N1",0
"60_6","prot_ctriad","NA","H5N6",0
"60_6","prot_ctriad","NA","H7N3",0
"60_6","prot_ctriad","NA","H7N4",0
"60_6","prot_ctriad","NA","H7N7",0
"60_6","prot_ctriad","NA","H7N9",0.00223214285714286
"60_6","prot_ctriad","NA","H8N4",0.842105263157895
"60_6","prot_ctriad","NA","H9N2",0
"60_6","prot_pseaac","NA","H10N8",0
"60_6","prot_pseaac","NA","H16N3",0.988679245283019
"60_6","prot_pseaac","NA","H3N8",0
"60_6","prot_pseaac","NA","H4N6",0.952040085898354
"60_6","prot_pseaac","NA","H4N8",0.991596638655462
"60_6","prot_pseaac","NA","H5N1",0.0072992700729927
"60_6","prot_pseaac","NA","H5N6",1
"60_6","prot_pseaac","NA","H7N3",0
"60_6","prot_pseaac","NA","H7N4",0
"60_6","prot_pseaac","NA","H7N7",0
"60_6","prot_pseaac","NA","H7N9",0.774553571428571
"60_6","prot_pseaac","NA","H8N4",0.565789473684211
"60_6","prot_pseaac","NA","H9N2",0
"60_6","cds_compbias","NP","H10N8",1
"60_6","cds_compbias","NP","H16N3",0.958490566037736
"60_6","cds_compbias","NP","H3N8",1
"60_6","cds_compbias","NP","H4N6",0.869005010737294
"60_6","cds_compbias","NP","H4N8",0.84453781512605
"60_6","cds_compbias","NP","H5N1",0.474452554744526
"60_6","cds_compbias","NP","H5N6",1
"60_6","cds_compbias","NP","H7N3",0
"60_6","cds_compbias","NP","H7N4",0
"60_6","cds_compbias","NP","H7N7",0
"60_6","cds_compbias","NP","H7N9",0.915178571428571
"60_6","cds_compbias","NP","H8N4",0.953947368421053
"60_6","cds_compbias","NP","H9N2",0.692307692307692
"60_6","nuc_2mer","NP","H10N8",1
"60_6","nuc_2mer","NP","H16N3",0.637735849056604
"60_6","nuc_2mer","NP","H3N8",1
"60_6","nuc_2mer","NP","H4N6",0.957766642806013
"60_6","nuc_2mer","NP","H4N8",0.949579831932773
"60_6","nuc_2mer","NP","H5N1",0.817518248175182
"60_6","nuc_2mer","NP","H5N6",0.916666666666667
"60_6","nuc_2mer","NP","H7N3",0
"60_6","nuc_2mer","NP","H7N4",0
"60_6","nuc_2mer","NP","H7N7",0
"60_6","nuc_2mer","NP","H7N9",1
"60_6","nuc_2mer","NP","H8N4",0.960526315789474
"60_6","nuc_2mer","NP","H9N2",0.923076923076923
"60_6","nuc_3mer","NP","H10N8",1
"60_6","nuc_3mer","NP","H16N3",0.581132075471698
"60_6","nuc_3mer","NP","H3N8",1
"60_6","nuc_3mer","NP","H4N6",0.856120257695061
"60_6","nuc_3mer","NP","H4N8",0.928571428571429
"60_6","nuc_3mer","NP","H5N1",0.496350364963504
"60_6","nuc_3mer","NP","H5N6",1
"60_6","nuc_3mer","NP","H7N3",0
"60_6","nuc_3mer","NP","H7N4",0
"60_6","nuc_3mer","NP","H7N7",0
"60_6","nuc_3mer","NP","H7N9",0.995535714285714
"60_6","nuc_3mer","NP","H8N4",0.914473684210526
"60_6","nuc_3mer","NP","H9N2",0.846153846153846
"60_6","nuc_4mer","NP","H10N8",1
"60_6","nuc_4mer","NP","H16N3",0.588679245283019
"60_6","nuc_4mer","NP","H3N8",1
"60_6","nuc_4mer","NP","H4N6",0.76234788833214
"60_6","nuc_4mer","NP","H4N8",0.936974789915966
"60_6","nuc_4mer","NP","H5N1",0.912408759124088
"60_6","nuc_4mer","NP","H5N6",0.916666666666667
"60_6","nuc_4mer","NP","H7N3",0
"60_6","nuc_4mer","NP","H7N4",0
"60_6","nuc_4mer","NP","H7N7",0
"60_6","nuc_4mer","NP","H7N9",0.689732142857143
"60_6","nuc_4mer","NP","H8N4",0.769736842105263
"60_6","nuc_4mer","NP","H9N2",0.846153846153846
"60_6","nuc_5mer","NP","H10N8",1
"60_6","nuc_5mer","NP","H16N3",0.981132075471698
"60_6","nuc_5mer","NP","H3N8",1
"60_6","nuc_5mer","NP","H4N6",0.861130994989263
"60_6","nuc_5mer","NP","H4N8",0.810924369747899
"60_6","nuc_5mer","NP","H5N1",0.81021897810219
"60_6","nuc_5mer","NP","H5N6",0.916666666666667
"60_6","nuc_5mer","NP","H7N3",0
"60_6","nuc_5mer","NP","H7N4",0
"60_6","nuc_5mer","NP","H7N7",0
"60_6","nuc_5mer","NP","H7N9",0.953125
"60_6","nuc_5mer","NP","H8N4",0.914473684210526
"60_6","nuc_5mer","NP","H9N2",0.692307692307692
"60_6","nuc_6mer","NP","H10N8",0.5
"60_6","nuc_6mer","NP","H16N3",1
"60_6","nuc_6mer","NP","H3N8",1
"60_6","nuc_6mer","NP","H4N6",0.863278453829635
