"cluster_set","featset","focgene","subtype","cost","weight","Accuracy","Kappa","AccuracySD","KappaSD"
"70_7","prot_pseaac","PA","H9N2",0.001,0.333333333333333,0.936987310683586,0.572805693568394,0.0273560749328472,0.14975012413683
"70_7","prot_pseaac","PA","H9N2",0.1,0.111111111111111,0.913522717969709,0.569527243978514,0.0073149095390004,0.022186945713816
"70_7","prot_pseaac","PA","H9N2",0.1,0.166666666666667,0.928419156774458,0.609304526067631,0.0137958019103503,0.0559426732428499
"70_7","prot_pseaac","PA","H9N2",0.1,0.333333333333333,0.941593123209169,0.639702103519277,0.0162080625446353,0.092671247775111
"70_7","prot_pseaac","PA","H9N2",1,0.111111111111111,0.916392959476054,0.579860102384986,0.0161554660610839,0.0381025279223045
"70_7","prot_pseaac","PA","H9N2",1,0.166666666666667,0.925557101923864,0.610756606433183,0.0151925477326238,0.041398851882734
"70_7","prot_pseaac","PA","H9N2",1,0.333333333333333,0.941593123209169,0.640960280112757,0.0148879389226146,0.0856187883723031
"70_7","prot_pseaac","PA","H9N2",10,0.111111111111111,0.91811215718379,0.585374597046456,0.0196140616741707,0.058095447507222
"70_7","prot_pseaac","PA","H9N2",10,0.166666666666667,0.924984036021285,0.601926821827875,0.0153831187099956,0.0472347316312311
"70_7","prot_pseaac","PA","H9N2",10,0.333333333333333,0.938729431027425,0.628758428121861,0.0137376088954654,0.0756394060815211
"70_7","cds_compbias","PB1","H10N8",0.001,0.111111111111111,0.805482408566263,0.291553489857232,0.018943732634032,0.0198216384086532
"70_7","cds_compbias","PB1","H10N8",0.001,0.166666666666667,0.820081768877764,0.306289048146941,0.0102870078188874,0.0237788431802417
"70_7","cds_compbias","PB1","H10N8",0.001,0.333333333333333,0.923229592546238,0.234728535732715,0.00999846400384505,0.106341511885031
"70_7","cds_compbias","PB1","H10N8",0.1,0.111111111111111,0.855404811570018,0.401709333981356,0.014992339928663,0.023337699440307
